crop,microzone,soil_type,season,nitrogen,phosphorus,potassium,ph,organic_carbon,temperature_avg,temperature_min,temperature_max,humidity_avg,rainfall,rainfall_probability,forecast_rainfall,historical_seasonal_rainfall,wind_speed
sugarcane,well_irrigated,deep_black_vertisol,annual,198.3,87.3,125.8,7.8,0.47,29.21,22.88,34.79,76.27,1550.77,100.0,111.6,1339.9,13.8
sugarcane,well_irrigated,deep_black_vertisol,kharif,225.6,87.5,102.0,7.86,0.6,26.33,18.89,32.01,61.63,2354.0,100.0,246.4,2216.0,15.7
sugarcane,well_irrigated,medium_clay_loam,annual,204.1,83.9,126.6,8.15,0.49,28.74,23.01,36.76,70.63,1687.15,100.0,192.6,1802.2,12.5
sugarcane,well_irrigated,medium_clay_loam,annual,199.6,61.6,109.5,7.75,0.52,31.8,25.37,37.92,73.57,1626.83,100.0,74.8,1864.5,14.4
sugarcane,canal_command,medium_clay_loam,kharif,209.3,60.5,101.9,8.04,0.65,30.24,21.54,37.85,82.87,2265.03,100.0,211.8,2377.8,11.6
sugarcane,well_irrigated,medium_clay_loam,kharif,268.7,76.5,97.2,8.04,0.64,29.93,21.85,36.9,73.07,1884.79,100.0,91.7,1619.8,8.2
sugarcane,canal_command,medium_clay_loam,annual,236.3,84.3,98.4,7.94,0.58,27.42,18.65,34.82,77.37,2292.42,100.0,175.4,2098.8,13.0
sugarcane,well_irrigated,medium_clay_loam,kharif,233.9,88.3,143.8,7.69,0.48,27.6,20.89,35.87,81.52,1506.26,100.0,110.5,1380.7,12.1
sugarcane,well_irrigated,medium_clay_loam,annual,204.4,65.9,103.1,7.9,0.55,26.45,20.44,32.44,77.41,2141.04,100.0,91.3,2041.5,9.2
sugarcane,canal_command,medium_clay_loam,annual,194.5,77.1,149.1,7.62,0.62,31.33,25.38,39.24,69.19,2069.08,100.0,171.4,1814.8,13.1
sugarcane,canal_command,medium_clay_loam,annual,230.8,84.4,141.5,7.69,0.51,30.98,22.74,37.37,62.4,2346.47,100.0,220.7,2512.0,11.2
sugarcane,canal_command,deep_black_vertisol,kharif,267.7,69.0,129.6,8.14,0.59,29.71,23.74,35.08,82.43,2310.38,100.0,155.1,2205.9,13.1
sugarcane,well_irrigated,deep_black_vertisol,kharif,265.6,74.2,143.3,8.17,0.68,31.5,23.82,38.82,69.31,2346.12,100.0,185.0,2309.8,15.8
sugarcane,canal_command,medium_clay_loam,annual,251.2,68.3,109.5,8.07,0.61,31.94,24.31,39.22,62.34,1830.94,100.0,109.0,2090.8,10.1
sugarcane,canal_command,medium_clay_loam,annual,270.6,75.2,111.0,7.98,0.62,32.05,26.13,39.05,74.3,2191.7,100.0,136.7,2443.8,8.3
sugarcane,canal_command,deep_black_vertisol,kharif,272.8,75.0,148.0,8.27,0.66,28.06,21.52,36.47,67.92,1652.54,100.0,189.9,1749.7,12.5
sugarcane,well_irrigated,medium_clay_loam,kharif,200.9,83.5,111.5,7.63,0.52,28.26,19.86,33.8,77.72,1997.54,100.0,177.6,1746.8,10.4
sugarcane,canal_command,medium_clay_loam,annual,259.8,82.7,132.1,8.12,0.67,28.37,21.86,33.74,74.46,1532.35,100.0,127.8,1434.2,11.7
sugarcane,well_irrigated,medium_clay_loam,kharif,205.0,61.4,108.2,7.88,0.53,31.8,25.71,40.66,71.43,2257.82,100.0,115.3,2009.1,9.6
sugarcane,well_irrigated,medium_clay_loam,kharif,212.3,87.8,106.2,7.8,0.47,26.18,17.33,34.52,77.4,1868.06,100.0,98.1,1728.1,9.4
sugarcane,well_irrigated,medium_clay_loam,kharif,198.3,92.7,128.3,7.87,0.61,29.05,21.13,34.24,74.15,1642.78,100.0,78.1,1549.8,9.0
sugarcane,well_irrigated,deep_black_vertisol,kharif,227.4,63.4,119.5,7.83,0.49,29.04,22.44,36.5,75.88,1540.77,100.0,138.8,1542.2,11.0
sugarcane,well_irrigated,deep_black_vertisol,annual,248.4,81.6,146.6,8.25,0.67,30.45,22.25,38.16,74.33,1615.65,100.0,170.7,1689.1,14.5
sugarcane,well_irrigated,deep_black_vertisol,annual,186.9,63.5,91.1,7.48,0.62,26.5,20.22,34.88,60.58,2233.02,100.0,110.4,2364.8,10.3
sugarcane,canal_command,deep_black_vertisol,annual,183.9,74.6,148.1,7.89,0.56,29.98,22.68,37.91,63.19,1725.01,100.0,101.9,1818.1,12.6
sugarcane,canal_command,deep_black_vertisol,annual,190.3,91.6,120.3,8.14,0.53,32.27,25.71,37.31,82.63,1582.16,100.0,183.5,1796.0,10.6
sugarcane,well_irrigated,deep_black_vertisol,annual,188.3,63.2,126.1,7.9,0.5,32.62,24.5,38.08,83.27,2376.82,100.0,279.3,2510.9,16.0
sugarcane,well_irrigated,deep_black_vertisol,kharif,190.1,62.9,132.1,7.47,0.66,30.94,25.62,36.28,84.67,1836.84,100.0,192.9,2083.3,11.0
sugarcane,canal_command,medium_clay_loam,annual,215.0,84.8,118.9,7.74,0.63,27.74,21.42,34.48,66.34,1864.68,100.0,197.3,2001.3,12.6
sugarcane,canal_command,medium_clay_loam,annual,276.2,73.1,107.1,8.18,0.51,32.74,27.69,41.62,61.08,2302.03,100.0,274.9,2007.7,12.2
sugarcane,canal_command,medium_clay_loam,annual,187.5,65.8,103.0,7.67,0.7,30.88,24.34,38.83,82.88,2362.83,100.0,158.0,2128.7,8.5
sugarcane,well_irrigated,medium_clay_loam,kharif,215.3,80.4,94.7,8.28,0.7,30.89,23.74,37.13,80.34,2116.26,100.0,238.9,2321.0,9.3
sugarcane,canal_command,medium_clay_loam,kharif,238.1,92.2,95.0,8.19,0.59,27.15,20.51,35.26,72.01,2386.76,100.0,253.8,2436.2,11.0
sugarcane,well_irrigated,deep_black_vertisol,annual,221.5,69.6,93.4,8.18,0.65,33.0,24.01,40.22,79.22,2350.29,100.0,140.5,2315.4,14.8
sugarcane,canal_command,deep_black_vertisol,kharif,207.5,67.3,142.7,8.08,0.46,27.88,22.79,34.87,71.91,2248.23,100.0,165.6,2440.2,10.5
sugarcane,well_irrigated,deep_black_vertisol,kharif,201.3,64.8,90.9,7.72,0.6,28.75,22.0,37.36,68.71,1962.59,100.0,140.8,2034.5,14.3
sugarcane,canal_command,deep_black_vertisol,annual,259.6,76.1,140.5,8.09,0.47,26.32,18.84,32.71,65.23,2021.68,100.0,175.4,1961.2,10.7
sugarcane,well_irrigated,medium_clay_loam,kharif,198.2,72.1,143.8,7.83,0.62,27.21,21.44,32.37,64.22,1750.73,100.0,82.5,1551.5,9.4
sugarcane,well_irrigated,medium_clay_loam,annual,269.4,64.5,109.8,7.69,0.47,29.37,21.62,36.41,63.92,1839.56,100.0,152.5,2073.6,8.0
sugarcane,well_irrigated,medium_clay_loam,kharif,216.9,76.2,134.8,7.43,0.51,30.99,22.41,38.04,73.3,1596.45,100.0,131.9,1473.1,11.6
sugarcane,canal_command,deep_black_vertisol,annual,198.2,79.7,140.4,7.48,0.58,27.63,21.26,34.53,68.88,2083.94,100.0,176.3,2138.0,11.8
sugarcane,canal_command,medium_clay_loam,kharif,208.4,72.7,128.8,7.91,0.54,32.91,25.48,38.85,62.54,1637.57,100.0,86.6,1483.6,10.0
sugarcane,well_irrigated,deep_black_vertisol,kharif,185.6,89.5,93.1,7.42,0.62,32.98,24.39,40.28,82.93,1504.77,100.0,159.0,1603.4,15.8
sugarcane,well_irrigated,medium_clay_loam,annual,208.0,86.9,101.2,7.69,0.56,29.55,23.58,35.01,75.27,1759.77,100.0,92.1,1749.8,12.6
sugarcane,canal_command,deep_black_vertisol,annual,216.9,75.9,122.9,7.89,0.5,30.79,25.44,36.35,60.07,1605.03,100.0,77.9,1773.9,11.8
sugarcane,well_irrigated,medium_clay_loam,kharif,192.4,85.6,146.3,7.56,0.47,31.19,23.89,39.56,63.49,2215.74,100.0,117.6,1992.6,9.6
sugarcane,canal_command,deep_black_vertisol,annual,243.4,91.8,109.0,7.93,0.62,29.16,21.31,37.76,75.6,1985.8,100.0,141.6,2004.8,11.5
sugarcane,well_irrigated,medium_clay_loam,annual,242.4,64.1,146.4,7.96,0.53,26.97,18.8,34.46,73.34,2304.5,100.0,120.1,2174.3,14.3
sugarcane,canal_command,deep_black_vertisol,annual,194.3,67.2,132.8,7.84,0.64,26.72,19.57,33.24,71.43,2043.56,100.0,148.6,2210.2,12.0
sugarcane,canal_command,deep_black_vertisol,annual,249.4,79.0,105.1,7.71,0.5,32.36,25.03,38.96,71.55,2352.56,100.0,204.4,2356.7,9.2
sugarcane,canal_command,deep_black_vertisol,annual,252.6,80.8,96.1,8.23,0.65,26.16,18.56,34.25,69.36,1562.03,100.0,85.8,1720.2,8.6
sugarcane,canal_command,medium_clay_loam,annual,231.9,80.7,113.9,7.45,0.53,31.62,26.6,37.95,69.95,1983.66,100.0,134.3,1892.6,15.4
sugarcane,canal_command,deep_black_vertisol,kharif,238.7,61.1,144.8,7.62,0.59,27.16,22.02,33.4,79.51,1749.83,100.0,206.6,1728.3,9.8
sugarcane,well_irrigated,medium_clay_loam,kharif,188.5,94.9,120.1,7.94,0.47,31.25,25.41,39.84,65.13,1671.62,100.0,130.0,1704.1,8.3
sugarcane,canal_command,medium_clay_loam,kharif,251.4,78.5,122.1,7.83,0.57,31.36,25.95,37.69,61.89,2177.92,100.0,226.6,2490.8,10.2
